航司,航司名称,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效开始日期,有效截止日期,创建人,创建时间
TV,西藏航空,TV多段优惠,出藏任意两段及以上,M-R(含小舱),15天内优惠折扣/运价基础6%,,,,,,15天内优惠折扣/运价基础6%	*YWBAC06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.04.13,"2026.04.29
2026.05.07-2026.06.17",,
TV,西藏航空,TV多段优惠,入藏任意两段及以上,M-G(含小舱),15天内优惠折扣/运价基础6%,,,,,,15天内优惠折扣/运价基础6%	*YWBAD06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29,"2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,
TV,西藏航空,TV多段优惠,入藏任意两段及以上,M-R(含小舱),15天内优惠折扣/运价基础8%,,,,,,15天内优惠折扣/运价基础8%	*YWBAD08,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.04.13,"2026.04.29
2026.05.07-2026.06.17",,
TV,西藏航空,TV多段优惠,所有区域任意两段及以上,M-R(含小舱),15天外优惠折扣/运价基础3%,,,,,,15天外优惠折扣/运价基础3%	*YWBCA03,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29,2026.06.30,,
TV,西藏航空,TV多段优惠,其他(除进出藏)任意两段及以上,M-G(含小舱),15天外优惠折扣/运价基础5%,,,,,,15天外优惠折扣/运价基础5%	*YWBCB05,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29,"2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,
TV,西藏航空,TV多段优惠,其他(除进出藏)任意两段及以上,M-R(含小舱),15天外优惠折扣/运价基础6%,,,,,,15天外优惠折扣/运价基础6%	*YWBCB06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.04.13,"2026.04.29
2026.05.07-2026.06.17",,
TV,西藏航空,TV多段优惠,出藏任意两段及以上,M-G(含小舱),15天外优惠折扣/运价基础6%,,,,,,15天外优惠折扣/运价基础6%	*YWBCC06,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29,"2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,
TV,西藏航空,TV多段优惠,出藏任意两段及以上,M-R(含小舱),15天外优惠折扣/运价基础8%,,,,,,15天外优惠折扣/运价基础8%	*YWBCC08,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.04.13,"2026.04.29
2026.05.07-2026.06.17",,
TV,西藏航空,TV多段优惠,入藏任意两段及以上,M-G(含小舱),15天外优惠折扣/运价基础8%,,,,,,15天外优惠折扣/运价基础8%	*YWBCD08,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.03.29,"2026.04.12
2026.04.30-2026.05.06
2026.06.18-2026.06.30",,
TV,西藏航空,TV多段优惠,入藏任意两段及以上,M-R(含小舱),15天外优惠折扣/运价基础10%,,,,,,15天外优惠折扣/运价基础10%	*YWBCD10,BSP/B2B,KMG319/KMG279/CTU152,注：所有航段除LXA=BPX、LXA=NGQ、APJ=LXA、TFU=NGQ外所涉舱位组合不限.Y/B舱可与以上任意舱位组合，但不享受优惠。,旅行日期:2026.04.13,"2026.04.29
2026.05.07-2026.06.17",,
UQ,乌鲁木齐航空,特惠行李,差异化航线,订E舱 联动V,100/120元（航线不同溢价金额不同）,固定值,,,10.0,,EVVE*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,差异化航线,N,100/120元（航线不同溢价金额不同）,固定值,,,10.0,,ENNE*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,差异化航线,A,100/120元（航线不同溢价金额不同）,固定值,,,10.0,,EAAE*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,差异化航线,U,100/120元（航线不同溢价金额不同）,固定值,,,10.0,,EUUE*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,差异化航线,T,100/120元（航线不同溢价金额不同）,固定值,,,10.0,,ETTE*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,快线/精品航线,V,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EVVB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,快线/精品航线,N,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,ENNB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,快线/精品航线,A,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EAAB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,快线/精品航线,U,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EUUB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,快线/精品航线,T,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,ETTB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,不限,H,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EHHB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,不限,K,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EKKB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,不限,L,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,ELLB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,不限,M,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EMMB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,特惠行李,不限,X,100/120元（航线不同溢价金额不同）,固定值,,,30.0,,EXXB*,BSP/GP,KMG319/KMG279,提供 20KG 托运行李额、退改优惠,,有效,,
UQ,乌鲁木齐航空,超值积分,精品航线 额外积分加赠（400/800）,订E舱  JFA1/JFB1 V\N\Q/A\U\T\Z\Z1\Z2\Z3\Z4  PAT:A/ PAT:A#C@JFB1,赠400积分溢80元/赠800积分溢150元,固定值,,,0.0,,JFA1/JFB1,BSP/GP,KMG319/KMG279,"托运行李额： 20KG。
随身行李额： 体积不得超过 20*40*55 厘米， 重量不得超过 7 公斤。",,有效,,
UQ,乌鲁木齐航空,积分乐享,H\K\L\M\X,订E舱  JFC1  PAT:A#C@JFC1,60元,固定值,,,20.0,,JFC1,BSP/GP,KMG319/KMG279,提供 20KG托运行李额，额外赠送400积分（加赠消费积分， 不作会员定级、 升保级使用）,,有效,,
UQ,乌鲁木齐航空,积分乐享,V\N\Q/A\U\T\Z\Z1\Z2\Z3\Z4,订E舱  JFC1  PAT:A#C@JFC1,140,固定值,,,20.0,,JFC1,BSP/GP,KMG319/KMG279,提供 20KG托运行李额，额外赠送400积分（加赠消费积分， 不作会员定级、 升保级使用）,,有效,,
UQ,乌鲁木齐航空,精品航线“智选经济舱”,所有航线,订W舱  H\K\L\M\X\V\N\Q\A\U\T\Z\Z1\Z2\Z3\Z4 运价标识：JPC1,精品智选：旺季上浮160元，除旺季外上浮120元,固定值,,,0.0,,JPC1,BSP/GP,KMG319/KMG279,"（ 一） 优先登机服务。
（ 二） 客票变更手续费优惠（ 见退改签规定） 。
（ 三） 超大手提行李： 一件重量在 7 公斤（ 含） 以内， 体积不超过 20CM× 40CM× 55CM 的非托运行李。
（ 四） 基础消费积分： 10 元/10 积分。
（ 五） 额外积分奖励： 10 元/2 积分。 
（六）有单独的退票政策",,有效,,
UQ,乌鲁木齐航空,精品航线“智选经济舱”,所有航线,订W舱 H\K\L\M\X\V\N\Q\A\U\T\Z\Z1\Z2\Z3\Z4   运价标识JPC1  PAT:A#C@JPGF,智选高返JPGF：上浮400元,固定值,,,0.0,,JPC1,BSP/GP,KMG319/KMG279,"（ 一） 优先登机服务。
（ 二） 客票变更手续费优惠（ 见退改签规定） 。
（ 三） 超大手提行李： 一件重量在 7 公斤（ 含） 以内， 体积不超过 20CM× 40CM× 55CM 的非托运行李。
（ 四） 基础消费积分： 10 元/10 积分。
（ 五） 额外积分奖励： 10 元/2 积分。 
（六）有单独的退票政策",,有效,,
UQ,乌鲁木齐航空,差异化航线“智选经济舱”,所有航线,订W舱  H/K/L/M/X  运价标识：WCCJ,旺季上浮160元，除旺季外上浮120元,固定值,,,0.0,,WCCJ,BSP/GP,KMG319/KMG279,"（ 一） 优先登机服务。
（ 二） 客票变更手续费优惠（ 见退改签规定） 。
（ 三） 基础消费积分： 10 元/10 积分。
（ 四） 额外积分奖励： 10 元/2 积分。
（ 五） 免费托运行李额： 20KG。
（ 六） 超大手提行李： 一件重量在 7 公斤（ 含） 以内， 体积不超过 20CM× 40CM× 55CM。                              （七）有单独的退票政策",,有效,,
UQ,乌鲁木齐航空,差异化航线“智选经济舱”,所有航线,订W舱  V/N/Q/A/U/T/Z/Z1/Z2/Z3/Z4  运价标识：WCCJ,智选经济 WCCJ:200元,固定值,,,0.0,,WCCJ,BSP/GP,KMG319/KMG279,"（ 一） 优先登机服务。
（ 二） 客票变更手续费优惠（ 见退改签规定） 。
（ 三） 基础消费积分： 10 元/10 积分。
（ 四） 额外积分奖励： 10 元/2 积分。
（ 五） 免费托运行李额： 20KG。
（ 六） 超大手提行李： 一件重量在 7 公斤（ 含） 以内， 体积不超过 20CM× 40CM× 55CM。                              （七）有单独的退票政策",,有效,,
UQ,乌鲁木齐航空,差异化航线“智选经济舱”,所有航线,订W舱  H\K\L\M\X\V\N\Q\A\U\T\Z\Z1\Z2\Z3\Z4，PAT:A#C@WCGF，运价标识：WCCJ,智选高返 WCGF：上浮400元,固定值,,,0.0,,WCCJ,BSP/GP,KMG319/KMG279,"（ 一） 优先登机服务。
（ 二） 客票变更手续费优惠（ 见退改签规定） 。
（ 三） 基础消费积分： 10 元/10 积分。
（ 四） 额外积分奖励： 10 元/2 积分。
（ 五） 免费托运行李额： 20KG。
（ 六） 超大手提行李： 一件重量在 7 公斤（ 含） 以内， 体积不超过 20CM× 40CM× 55CM。                              （七）有单独的退票政策",,有效,,
UQ,乌鲁木齐航空,优选公务舱,所有航线,I舱  Y/H/K/L/M/X/V/N/Q/A/U/T  运价标识：ICYJ,"航线YB&lt;1500元，上浮Y35%;
1500元≤YB&lt;2500元，上浮Y30%;
YB≥2500，上浮Y25%",固定值,,,50.0,,ICYJ,BSP/GP,KMG319/KMG279,"（ 一） 享受公务舱座位。
（ 二） 为旅客提供专属值机柜台。
（ 三） 优先行李服务。
（ 四） 优先安检通道。
（ 五） 优先登机服务。
（ 六） 行李额。
1.随身行李额： 每人可以随身携带两件物品； 每件体积不得超过 20*40*55 厘米， 每件重量不得超过 7 公斤。
2.托运行李额： 30KG。
（ 七） 金鹏俱乐部在常旅客系统设置乌鲁木齐航空“优选公务舱” I 舱产品积分累积规则， 金鹏会员购买此产品乘机后，可享受获得常规消费积分奖励。
（ 八） 出票单位应在购票环节提示旅客， 如旅客非金鹏会员， 需在乘机前注册为金鹏会员， 否则影响积分累积。 在线注册渠道： 金鹏官网 ffp.hnair.com（ 支持手机端） ， 旅客实际成行后， 积分将自动累积至金鹏会员账户。航线YB&lt;1500元，上浮Y35%;
1500元≤YB&lt;2500元，上浮Y30%;
YB≥2500，上浮Y25%",,有效,,
UQ,乌鲁木齐航空,改期优享,差异化航线,适用舱位：Q 舱，联动H/K/L/M/X,90元,固定值,,,0.0,,QCY1,BSP/GP,KMG319/KMG279,"运价基础：Q+定座时经
济舱即时开
放最低舱位+
即时开放最
低舱位运价
基础+上浮金
额，例 QXX90托运：20KG
手提：限一件， 体积不得超过 20*40*30 厘米， 重量不得超过 7 公斤、购买“改期优享”产品的旅客，可获赠
该机票在航班计划出港时间前 24 小时（含）以前，免出行日期
变更费的权益。",,有效,,
UQ,乌鲁木齐航空,改期优享,差异化航线,适用舱位：Q 舱，联动V/N/A/U/T,130元,固定值,,,0.0,,QCY1,BSP/GP,KMG319/KMG279,"运价基础：P9Q+定座时
经济舱即时
开放最低舱
位+即时开放
最低舱位运
价基础+上浮
金额,例
P9QVV130、行李10KG、行距2500 公
里（不
含）以
下",,有效,,
UQ,乌鲁木齐航空,改期优享,差异化航线,适用舱位：Q 舱，联动V/N/A/U/T,150元,固定值,,,0.0,,QCY1,BSP/GP,KMG319/KMG279,"运价基础：P9Q+定座时
经济舱即时
开放最低舱
位+即时开放
最低舱位运
价基础+上浮
金额,例
P9QVV150、行李10KG",,有效,,
UQ,乌鲁木齐航空,改期优享,精品/快线航线,适用舱位：Q 舱，联动H/K/L/M/X/V/N/A/U/T,90元,固定值,,,0.0,,QCY1,BSP/GP,KMG319/KMG279,"运价基础：Q+定座时经
济舱即时开
放最低舱位+
即时开放最
低舱位运价
基础+上浮金
额,例 QNN90、行李20KG、行距2500 公
里（不
含）以
上",,有效,,
UQ,乌鲁木齐航空,微积分,所有航线,H\K\L\M\X\V\N\Q\A\U\T\Z\Z1\Z2\Z3\Z4  PAT:A#C@WJF1  运价标识：WJF1,30,固定值,,,15.0,,WJF1,BSP/GP,KMG319/KMG279,金鹏会员购买该产品额外加赠 100 金鹏会员积分（本产品奖励积分为消费积分， 不作会员定级、 升保级使用）。乌鲁木齐航空国内自营航班（ 包机及乌鲁木齐航空为市场方的代码共享航班除外）,,有效,,
UQ,乌鲁木齐航空,畅翼行,"乌鲁木齐航空国内自营航班（包机、代码
共享航班除外）",H/K/L/M/X/V/N/A/U/T,30,固定值,,,15.0,,CYX1,BSP/GP,KMG319/KMG279,"适用销售渠道：乌鲁木齐航空所有签约代理（含签约 OTA），
直销渠道不适用、适用出票日期：自 2026 年 3 月 29 日起",,有效,,
UQ,乌鲁木齐航空,畅翼行,"乌鲁木齐航空国内自营航班（包机、代码
共享航班除外）",H/K/L/M/X/V/N/A/U/T,50,固定值,,,25.0,,CYA1,BSP/GP,,,,有效,,
UQ,乌鲁木齐航空,畅翼行,"乌鲁木齐航空国内自营航班（包机、代码
共享航班除外）",H/K/L/M/X/V/N/A/U/T,70,固定值,,,35.0,,CYB1,BSP/GP,,,,有效,,
UQ,乌鲁木齐航空,畅翼行,"乌鲁木齐航空国内自营航班（包机、代码
共享航班除外）",H/K/L/M/X/V/N/A/U/T,170,固定值,,,80.0,,CYC1,BSP/GP,,,,有效,,
UQ,乌鲁木齐航空,畅翼行,"乌鲁木齐航空国内自营航班（包机、代码
共享航班除外）",H/K/L/M/X/V/N/A/U/T,300,固定值,,,150.0,,CYD1,BSP/GP,,,,有效,,
UQ,乌鲁木齐航空,畅翼行,"乌鲁木齐航空国内自营航班（包机、代码
共享航班除外）",H/K/L/M/X/V/N/A/U/T,500,固定值,,,300.0,,CYE1,BSP/GP,,,,有效,,
UQ,乌鲁木齐航空,悦享经济舱,所有航线,W,330,固定值,,,30.0,,WCY1,BSP/GP,KMG319/KMG279,"航距≥2500、积分：额外3积分/10元
优先权益：优先登机
行李：30KG托运+超大手提行李
座位：前三排座位",,有效,,
UQ,乌鲁木齐航空,悦享经济舱,所有航线,W,290,固定值,,,30.0,,WCY1,BSP/GP,,"2500＜ 航距≤1600、积分：额外3积分/10元
优先权益：优先登机
行李：30KG托运+超大手提行李
座位：前三排座位",,有效,,
UQ,乌鲁木齐航空,悦享经济舱,所有航线,W,260,固定值,,,30.0,,WCY1,BSP/GP,,"1600＜ 航距≤800、积分：额外3积分/10元
优先权益：优先登机
行李：30KG托运+超大手提行李
座位：前三排座位",,有效,,
UQ,乌鲁木齐航空,悦享经济舱,所有航线,W,230,固定值,,,30.0,,WCY1,BSP/GP,,"航距＜800、积分：额外3积分/10元
优先权益：优先登机
行李：30KG托运+超大手提行李
座位：前三排座位",,有效,,
UQ,乌鲁木齐航空,悦享经济舱,所有航线,W,500,固定值,,,200.0,,WCCG,BSP/GP,,,,有效,,
UQ,乌鲁木齐航空,舒享经济舱,"乌鲁木齐航空国内自营航班（包机及乌
鲁木齐航空为市场方的代码共享航班除外）",R舱H/K/L/M/X,淡季溢价100元,固定值,,,20.0,,RCCJ,BSP/GP,KMG319/KMG279,"优先权益：优先登机
行李:20KG行李额+超大手提行李
座位：前三排座位",,有效,,
